RUN	RecordedSimulation	recordedsimulation	1695380495044	 	3.6.1
USER	RecordedSimulation	START	1695380495827
REQUEST		request_0	1695380495836	1695380497182	OK	 
REQUEST		bootstrap.min.css	1695380497233	1695380497422	OK	 
REQUEST		main.css	1695380497234	1695380498173	OK	 
REQUEST		request_1	1695380503180	1695380503372	OK	 
REQUEST		main.css	1695380503379	1695380503572	OK	 
REQUEST		bootstrap.min.css	1695380503378	1695380503577	OK	 
REQUEST		request_2	1695380507580	1695380508255	OK	 
REQUEST		main.css	1695380508262	1695380508448	OK	 
REQUEST		bootstrap.min.css	1695380508261	1695380508451	OK	 
REQUEST		request_3	1695380510455	1695380510674	OK	 
REQUEST		bootstrap.min.css	1695380510682	1695380510862	OK	 
REQUEST		main.css	1695380510683	1695380510864	OK	 
REQUEST		request_4	1695380514866	1695380515064	OK	 
REQUEST		bootstrap.min.css	1695380515069	1695380515245	OK	 
REQUEST		main.css	1695380515071	1695380515249	OK	 
REQUEST		request_5	1695380516252	1695380516537	OK	 
REQUEST		main.css	1695380516545	1695380516847	OK	 
REQUEST		bootstrap.min.css	1695380516544	1695380516849	OK	 
REQUEST		request_7	1695380516547	1695380517035	OK	 
REQUEST		request_6	1695380516545	1695380517190	OK	 
USER	RecordedSimulation	END	1695380517196
